flight,seq,uid,timestamp,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,altitude,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,payload,yaw,IDLE_HOVER,ASCEND,TURN,HMSL,DESCEND
3,1651,a3d9,1674047249,4.119999886,204,44084,18482,33.41497421,35.14558029,39.25947571,200,-0.014296642,0.02000794,0.204400241,0.978578448,4.737944603,2.025140047,-0.039049953,-0.020763859,0.01555205,-0.065442696,-0.03325678,-0.064729191,0.022144318,0.470999986,0.411381977,0,0,0,1,0
3,1652,a3d9,1674047249,4.119999886,204,44084,18482,33.41498184,35.14558411,39.25489044,200,-0.014185957,0.020022515,0.203914583,0.978681087,4.73823452,2.020149469,-0.036830012,0.037128322,-0.028857704,-0.055074666,-0.014173754,-0.06764292,0.119003296,0.470999986,0.410393692,0,0,1,1,0
3,1653,a3d9,1674047249,4.119999886,204,44085,18482,33.41498566,35.14558411,39.26413727,200,-0.011371296,0.006311964,0.202707171,0.979153037,4.746827126,2.016831398,-0.029183276,0.018952588,-0.423188329,-0.078108013,0.003973689,-0.071329027,-0.030582428,0.470999986,0.408111123,0,0,1,1,0
3,1654,a3d9,1674047250,4.119999886,204,44085,18482,33.41499329,35.14558792,39.26108551,200,-0.004173541,-0.028964117,0.196751133,0.980016649,4.723000526,1.991174579,-0.026128769,0.052114174,-1.415573955,-0.561609209,-0.304912776,-0.332112074,0.148210526,0.470999986,0.396799232,0,0,1,1,0
3,1655,a3d9,1674047250,4.119999886,204,44095,18494,33.4149971,35.14558792,39.26896667,200,0.026748588,-0.114478342,0.151613474,0.981423736,4.630893707,1.93882215,-0.00109607,0.28989917,-1.651461482,-1.219875216,-1.672011733,-0.821553946,-0.14453125,0.470999986,0.304383852,0,0,1,1,0
3,1910,a3d9,1674047275,4.449999809,104,44092,17634,33.41482544,35.14554214,39.28997803,200,-0.007335548,0.024293199,0.165335029,0.985910952,4.635007381,1.644076824,-0.054798324,-0.007122599,-0.068254896,-0.004754098,0.224477619,0.26475662,0.020897865,0.470999986,0.332141281,0,0,0,1,0
3,1911,a3d9,1674047275,4.449999809,104,44124,17634,33.41483307,35.14554596,39.28343964,200,-0.005175427,0.021995636,0.165051386,0.986026108,4.653219223,1.665043712,-0.051930286,0.040624388,-0.030721445,-0.053483129,0.127441049,0.24537155,0.051465988,0.470999986,0.33163921,0,0,0,1,0
3,1912,a3d9,1674047275,4.449999809,104,44124,17634,33.41483688,35.14554596,39.2795105,200,-0.003506855,0.02097821,0.164739981,0.986107707,4.664422989,1.68106699,-0.042660698,0.049156953,0.033720534,-0.037026089,0.055703074,0.182556361,0.232103348,0.470999986,0.331064269,0,0,0,1,0
3,1913,a3d9,1674047275,4.449999809,104,44130,17634,33.41484451,35.14554596,39.27613831,200,-0.001830068,0.022534769,0.163972571,0.986205757,4.673464298,1.693159103,-0.041548155,0.030666426,0.033295412,-0.042356826,0.085070014,0.128623143,0.055257797,0.470999986,0.329603066,0,0,0,1,0
3,1914,a3d9,1674047276,4.449999809,104,44130,17634,33.41484833,35.14554977,39.27209473,200,-0.0002254,0.023810418,0.163382679,0.986275375,4.689923286,1.705175281,-0.036659062,0.02973623,0.017842803,0.025231373,0.157935962,0.105369136,0.059267044,0.470999986,0.328503646,0,0,0,1,0
